movie_entity,cluster
<http://example.org/moviekg/Movie/tt0000010>,4
<http://example.org/moviekg/Movie/tt0000012>,4
<http://example.org/moviekg/Movie/tt0000091>,3
<http://example.org/moviekg/Movie/tt0000211>,0
<http://example.org/moviekg/Movie/tt0000412>,4
<http://example.org/moviekg/Movie/tt0000417>,0
<http://example.org/moviekg/Movie/tt0000499>,0
<http://example.org/moviekg/Movie/tt0000628>,3
<http://example.org/moviekg/Movie/tt0000679>,4
<http://example.org/moviekg/Movie/tt0000770>,4
<http://example.org/moviekg/Movie/tt0000833>,3
<http://example.org/moviekg/Movie/tt0001223>,3
<http://example.org/moviekg/Movie/tt0001740>,3
<http://example.org/moviekg/Movie/tt0002113>,0
<http://example.org/moviekg/Movie/tt0002405>,0
<http://example.org/moviekg/Movie/tt0002822>,0
<http://example.org/moviekg/Movie/tt0002844>,3
<http://example.org/moviekg/Movie/tt0003022>,4
<http://example.org/moviekg/Movie/tt0003622>,0
<http://example.org/moviekg/Movie/tt0003747>,4
<http://example.org/moviekg/Movie/tt0004026>,0
<http://example.org/moviekg/Movie/tt0004207>,2
<http://example.org/moviekg/Movie/tt0004225>,0
<http://example.org/moviekg/Movie/tt0004288>,0
<http://example.org/moviekg/Movie/tt0004313>,0
<http://example.org/moviekg/Movie/tt0004325>,0
<http://example.org/moviekg/Movie/tt0004356>,0
<http://example.org/moviekg/Movie/tt0004465>,0
<http://example.org/moviekg/Movie/tt0004473>,0
<http://example.org/moviekg/Movie/tt0004481>,4
<http://example.org/moviekg/Movie/tt0004496>,4
<http://example.org/moviekg/Movie/tt0004859>,2
<http://example.org/moviekg/Movie/tt0004883>,0
<http://example.org/moviekg/Movie/tt0004936>,3
<http://example.org/moviekg/Movie/tt0004972>,3
<http://example.org/moviekg/Movie/tt0004974>,4
<http://example.org/moviekg/Movie/tt0005059>,0
<http://example.org/moviekg/Movie/tt0005078>,3
<http://example.org/moviekg/Movie/tt0005198>,4
<http://example.org/moviekg/Movie/tt0005377>,2
<http://example.org/moviekg/Movie/tt0005529>,4
<http://example.org/moviekg/Movie/tt0005575>,0
<http://example.org/moviekg/Movie/tt0005733>,2
<http://example.org/moviekg/Movie/tt0005752>,4
<http://example.org/moviekg/Movie/tt0005770>,0
<http://example.org/moviekg/Movie/tt0005939>,0
<http://example.org/moviekg/Movie/tt0005960>,0
<http://example.org/moviekg/Movie/tt0006043>,0
<http://example.org/moviekg/Movie/tt0006097>,4
<http://example.org/moviekg/Movie/tt0006140>,0
<http://example.org/moviekg/Movie/tt0006206>,4
<http://example.org/moviekg/Movie/tt0006398>,0
<http://example.org/moviekg/Movie/tt0006517>,4
